name,signpost_id,start_s,end_s,duration_ms,begin_message,outcome
WebPoolReconcile,0x1c6,49.875621916,49.875838041,0.21612500000145474,current=game_0023 eligible=game_0023,completed
WebSlotReset,0x1c7,49.875629708,49.875799458,0.16975000000485352,item=game_0021,completed
FeedRenderCells,0x1c8,49.875813458,49.875830416,0.016957999996236595,,completed
WebPoolReconcile,0x1c9,50.033497083,50.033821,0.3239170000028935,current=game_0023 eligible=game_0023,completed
FeedRenderCells,0x1cb,50.03379325,50.033819291,0.026040999998144798,,completed
FeedRenderCells,0x1cc,50.051186541,50.05121625,0.02970900000320853,,completed
FeedDrag,0x1cd,50.734030333,51.176006041,441.9757080000011,item=game_0023,drag ended
FeedWebViewAttach,0x1ce,50.7345815,50.735632833,1.051332999999488,item=game_0024,completed
WebPoolReconcile,0x1cf,50.73642225,50.736472291,0.05004100000149947,current=game_0023 eligible=none,completed
FeedRenderCells,0x1d0,50.736445125,50.736470583,0.02545799999609244,,completed
FeedDeceleration,0x1d1,51.176008083,51.525659041,349.650957999998,,settled
FeedSettle,0x1d2,51.525662458,51.525860541,0.1980830000007927,,completed
FeedAssignWindow,0x1d3,51.52567375,51.525744041,0.07029100000011113,item=game_0024,completed
FeedRenderCells,0x1d4,51.525697333,51.525736791,0.0394580000033784,,completed
FeedWebViewDetach,0x1d5,51.526016208,51.526684791,0.6685829999995008,item=game_0023,completed
WebPoolReconcile,0x1d6,51.526788458,51.527068791,0.2803329999991888,current=game_0024 eligible=game_0024,completed
WebSlotReset,0x1d7,51.526797208,51.527031875,0.2346670000008544,item=game_0022,completed
FeedRenderCells,0x1d8,51.527051875,51.527067291,0.015416000003654062,,completed
