time_s,event_type,name,signpost_id,message,process,thread
15.686657375,End,FeedDrag,0x62,drag ended,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
15.686660166,Begin,FeedDeceleration,0x66,,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
15.704862,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0003,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.019764333,Begin,FeedWebViewDetach,0x67,item=game_0005,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.020087458,End,FeedWebViewDetach,0x67,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036286166,End,FeedDeceleration,0x66,settled,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036289375,Begin,FeedSettle,0x68,,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036297625,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=2 item=game_0003,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036299291,Begin,FeedAssignWindow,0x69,item=game_0003,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036322,Begin,FeedRenderCells,0x6a,,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036349458,End,FeedRenderCells,0x6a,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036352291,End,FeedAssignWindow,0x69,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036362791,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0003,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036499625,End,FeedSettle,0x68,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036624541,Begin,WebPoolReconcile,0x6b,current=game_0003 eligible=game_0003,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036634208,Begin,WebSlotReset,0x6c,item=game_0006,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036723166,End,WebLoadToReady,0x44,reset or cancelled,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036857416,End,WebSlotReset,0x6c,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036873916,Begin,FeedRenderCells,0x6d,,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036888875,End,FeedRenderCells,0x6d,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.036890208,End,WebPoolReconcile,0x6b,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.21192525,Begin,FeedDrag,0x6e,item=game_0003,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.211938291,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.213418666,Begin,WebPoolReconcile,0x6f,current=game_0003 eligible=none,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.21344225,Begin,FeedRenderCells,0x70,,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.213465916,End,FeedRenderCells,0x70,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.213467541,End,WebPoolReconcile,0x6f,completed,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.291253833,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.295086125,Begin,WebPoolReconcile,0x71,current=game_0003 eligible=none,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.295182291,Begin,WebLoadToReady,0x72,item=game_0001 role=adjacent slot=1,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.295424916,Begin,FeedRenderCells,0x73,,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
16.295434625,Begin,FeedWebViewAttach,0x74,item=game_0001,Sekai (9071),"Main Thread (0xde42e) (Sekai, pid: 9071)"
