start_s,duration_s,presented_surfaces,fps
0.0,1.0,26,26.0
1.0,1.0,38,38.0
2.0,1.0,10,10.0
3.0,1.0,7,7.0
4.0,1.0,16,16.0
5.0,1.0,21,21.0
6.0,1.0,9,9.0
7.0,1.0,9,9.0
8.0,1.0,6,6.0
9.0,1.0,4,4.0
10.0,1.0,106,106.0
11.0,1.0,90,90.0
12.0,1.0,42,42.0
13.0,1.0,44,44.0
14.0,1.0,59,59.0
15.0,1.0,73,73.0
16.0,1.0,63,63.0
17.0,1.0,79,79.0
18.0,1.0,80,80.0
19.0,1.0,0,0.0
20.0,1.0,0,0.0
21.0,1.0,66,66.0
22.0,1.0,59,59.0
23.0,1.0,4,4.0
24.0,1.0,0,0.0
25.0,1.0,71,71.0
26.0,1.0,3,3.0
27.0,1.0,69,69.0
28.0,1.0,34,34.0
29.0,1.0,39,39.0
30.0,1.0,62,62.0
31.0,1.0,13,13.0
32.0,1.0,52,52.0
33.0,1.0,1,1.0
34.0,1.0,66,66.0
35.0,1.0,7,7.0
36.0,1.0,61,61.0
37.0,1.0,36,36.0
38.0,1.0,61,61.0
39.0,1.0,0,0.0
40.0,1.0,10,10.0
41.0,1.0,58,58.0
42.0,1.0,14,14.0
43.0,1.0,52,52.0
44.0,1.0,47,47.0
45.0,1.0,25,25.0
46.0,1.0,61,61.0
47.0,1.0,23,23.0
48.0,1.0,45,45.0
49.0,1.0,67,67.0
50.0,0.998136997,17,17.03173016439145
