name,signpost_id,start_s,end_s,duration_ms,begin_message,outcome
FeedDrag,0x3a,16.346362583,16.396309083,49.94649999999723,item=game_0003,drag ended
WebPoolReconcile,0x3b,16.346687583,16.346762083,0.0745000000001994,current=game_0003 eligible=none,completed
FeedRenderCells,0x3c,16.346738166,16.346760416,0.022249999997114855,,completed
FeedDeceleration,0x3d,16.396312333,16.737963958,341.65162500000076,,settled
FeedSettle,0x3e,16.737965833,16.738083958,0.118125000000191,,completed
FeedAssignWindow,0x3f,16.7379735,16.738025791,0.05229099999937148,item=game_0001,completed
FeedRenderCells,0x40,16.738005291,16.738024625,0.019334000000981177,,completed
WebPoolReconcile,0x41,16.738312333,16.738967666,0.6553330000009794,current=game_0001 eligible=game_0001,completed
WebSlotReset,0x42,16.738321375,16.738514291,0.19291599999959885,item=game_0005,completed
WebPlayJS,0x43,16.738535541,16.73876375,0.22820899999942412,item=game_0001,completed
FeedRenderCells,0x44,16.738939958,16.738966166,0.0262080000013043,,completed
FeedDrag,0x45,17.046616625,17.088239958,41.62333300000043,item=game_0001,drag ended
WebPoolReconcile,0x46,17.046934291,17.048588416,1.6541250000017271,current=game_0001 eligible=none,completed
WebPauseJS,0x47,17.046939958,17.048527833,1.5878750000020148,item=game_0001,completed
FeedRenderCells,0x48,17.048570291,17.048587541,0.0172499999990805,,completed
FeedDeceleration,0x49,17.088242583,17.421488875,333.24629200000186,,settled
FeedSettle,0x4a,17.421492,17.42166525,0.17324999999956958,,completed
FeedAssignWindow,0x4b,17.421502583,17.421582541,0.07995800000060171,item=game_0003,completed
FeedRenderCells,0x4c,17.4215485,17.421579916,0.03141599999878508,,completed
WebPoolReconcile,0x4d,17.421911291,17.421954083,0.04279199999857042,current=game_0003 eligible=game_0003,completed
FeedRenderCells,0x4e,17.421941958,17.42195325,0.011291999999940572,,completed
FeedDrag,0x4f,17.996728041,18.038278291,41.55025000000023,item=game_0003,drag ended
WebPoolReconcile,0x50,17.99701675,17.997067,0.05025000000102864,current=game_0003 eligible=none,completed
FeedRenderCells,0x51,17.997051125,17.997066125,0.015000000001208491,,completed
FeedDeceleration,0x52,18.038281166,18.371636791,333.35562499999935,,settled
FeedSettle,0x53,18.371640083,18.3718355,0.19541700000047513,,completed
FeedAssignWindow,0x54,18.371650166,18.371739,0.08883400000314623,item=game_0005,completed
FeedRenderCells,0x55,18.371697416,18.37173575,0.03833399999919607,,completed
WebPoolReconcile,0x56,18.372053375,18.372286125,0.2327499999985605,current=game_0005 eligible=game_0005,completed
WebSlotReset,0x57,18.372061958,18.372180875,0.11891700000177252,item=game_0001,completed
FeedRenderCells,0x58,18.3722615,18.372284,0.02250000000003638,,completed
WebPoolReconcile,0x59,18.469871833,18.4702415,0.36966700000107267,current=game_0005 eligible=game_0005,completed
WebLoadToReady,0x5a,18.469939666,20.2891855,1819.2458340000003,item=game_0005 role=current slot=1,reset or cancelled
FeedRenderCells,0x5b,18.470119958,18.47024025,0.12029199999830098,,completed
FeedRenderCells,0x5c,18.48546175,18.4854945,0.03275000000257933,,completed
FeedDrag,0x5d,18.896819583,18.93839475,41.5751670000013,item=game_0005,drag ended
WebPoolReconcile,0x5e,18.897113,18.897198916,0.08591599999974164,current=game_0005 eligible=none,completed
FeedRenderCells,0x5f,18.897170916,18.897197333,0.026417000000833468,,completed
FeedDeceleration,0x60,18.938397791,19.271834708,333.4369170000002,,settled
FeedSettle,0x61,19.271838291,19.27205475,0.2164589999971156,,completed
FeedAssignWindow,0x62,19.271848625,19.271945833,0.09720799999968222,item=game_0006,completed
FeedRenderCells,0x63,19.271904416,19.271942208,0.03779199999698335,,completed
WebPoolReconcile,0x64,19.272298458,19.27260325,0.30479199999788875,current=game_0006 eligible=game_0006,completed
WebSlotReset,0x65,19.272308125,19.272508208,0.20008300000284862,item=game_0003,completed
FeedRenderCells,0x66,19.272585916,19.27260175,0.015833999999159687,,completed
FeedDrag,0x67,19.897059166,19.946904791,49.845625000003224,item=game_0006,drag ended
WebPoolReconcile,0x68,19.89735875,19.8974565,0.09775000000189493,current=game_0006 eligible=none,completed
FeedRenderCells,0x69,19.897429083,19.897454625,0.02554200000304263,,completed
FeedDeceleration,0x6a,19.946908041,20.28860575,341.6977089999982,,settled
FeedSettle,0x6b,20.28860975,20.288829,0.2192500000006703,,completed
FeedAssignWindow,0x6c,20.288621458,20.288732333,0.1108749999971792,item=game_0007,completed
FeedRenderCells,0x6d,20.288675083,20.288710708,0.03562499999887336,,completed
WebPoolReconcile,0x6e,20.289065166,20.289365916,0.30075000000095997,current=game_0007 eligible=game_0007,completed
WebSlotReset,0x6f,20.289074708,20.289282333,0.20762499999804618,item=game_0005,completed
FeedRenderCells,0x70,20.289346458,20.289364375,0.017917000000977623,,completed
FeedFilter,0x71,20.289383166,20.2893925,0.009334000001359755,count=10,completed
