time_s,event_type,name,signpost_id,message,process,thread
36.058048,Begin,FeedSettle,0x139,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058057208,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=14 item=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058059,Begin,FeedAssignWindow,0x13a,item=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058131,Begin,FeedRenderCells,0x13b,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.05816775,End,FeedRenderCells,0x13b,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058173166,End,FeedAssignWindow,0x13a,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058190083,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058267708,End,FeedSettle,0x139,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058523083,Begin,WebPoolReconcile,0x13c,current=game_0017 eligible=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.05853225,Begin,WebSlotReset,0x13d,item=game_0015,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058644125,End,WebLoadToReady,0x117,reset or cancelled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058714333,End,WebSlotReset,0x13d,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058788958,Begin,FeedRenderCells,0x13e,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058804416,End,FeedRenderCells,0x13e,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.058805916,End,WebPoolReconcile,0x13c,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.277377416,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.286314125,Begin,WebPoolReconcile,0x13f,current=game_0017 eligible=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.286410166,Begin,WebLoadToReady,0x140,item=game_0017 role=current slot=2,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.286685833,Begin,FeedRenderCells,0x141,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.286885916,End,FeedRenderCells,0x141,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.286888291,End,WebPoolReconcile,0x13f,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.297122875,Begin,FeedRenderCells,0x142,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.297161041,End,FeedRenderCells,0x142,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.425587166,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.933180833,Begin,FeedDrag,0x143,item=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.933203916,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.933490291,Begin,WebPoolReconcile,0x144,current=game_0017 eligible=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.933568166,Begin,FeedRenderCells,0x145,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.933597541,End,FeedRenderCells,0x145,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
36.933599375,End,WebPoolReconcile,0x144,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.016502416,End,FeedDrag,0x143,drag ended,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.016506041,Begin,FeedDeceleration,0x146,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.3414725,End,FeedDeceleration,0x146,settled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341476083,Begin,FeedSettle,0x147,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341486,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=15 item=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341488041,Begin,FeedAssignWindow,0x148,item=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341563541,Begin,FeedRenderCells,0x149,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341602041,End,FeedRenderCells,0x149,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341608291,End,FeedAssignWindow,0x148,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341626583,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341710125,End,FeedSettle,0x147,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341959458,Begin,WebPoolReconcile,0x14a,current=game_0019 eligible=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.341969458,Begin,WebSlotReset,0x14b,item=game_0016,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.342081875,End,WebLoadToReady,0x129,reset or cancelled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
